artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Skillibeng,Crocodile Teeth,0.594,0.644,1,-7.458,0,0.302,0.141,0.000242,0.243,0.221,107.101,166699,4
IQ,Bun Fi Bun (Fast),0.639,0.712,7,-5.915,1,0.105,0.0517,2.87e-05,0.151,0.611,110.522,149493,4
Skip Da Line,Wine So,0.852,0.687,11,-5.63,1,0.0641,0.0305,0.000221,0.0793,0.564,112.989,186098,4
Shenseea,Wine,0.726,0.892,8,-4.25,1,0.123,0.339,1.89e-06,0.315,0.91,103.958,178026,4
YouknowLando,Taunt Me,0.821,0.636,10,-8.206,0,0.0741,0.327,6.27e-05,0.123,0.492,104.041,138422,4
Nadia Batson,NO TIME LIKE NOW (DIGICEL),0.755,0.728,4,-7.982,1,0.227,0.0562,0,0.153,0.655,126.973,183307,4
Gbmnutron,Down Dey - Remix,0.679,0.904,3,-2.986,0,0.0489,0.348,2.25e-06,0.0332,0.894,95.994,215000,4
Serani,No Games,0.741,0.79,2,-5.056,1,0.284,0.000755,0,0.0345,0.806,185.779,188200,4
DJ Spider,Fete Cyah Over,0.839,0.787,10,-4.679,0,0.0417,0.0553,1.79e-05,0.0771,0.611,110.027,151244,4
Travis World,Issa Snack (Remix),0.906,0.702,0,-4.238,1,0.0831,0.0276,0,0.479,0.385,110.001,207273,4
Gbmnutron,Practice,0.836,0.824,6,-4.591,1,0.0482,0.163,0.00526,0.105,0.574,106.015,185660,4
HoodCelebrityy,Bum Pon It,0.94,0.655,8,-4.074,0,0.0602,0.624,0.000174,0.102,0.867,100.004,173774,4
DJ Spider,Sweetness,0.617,0.9,5,-3.584,1,0.0307,0.0209,0.000248,0.209,0.695,100.033,127237,4
Zum,Rebel,0.798,0.741,7,-4.868,0,0.129,0.62,0,0.304,0.886,101.961,135882,4
10Tik,Roll Deep,0.627,0.582,6,-5.729,0,0.348,0.228,0,0.0523,0.508,68.711,207856,3
Scopemr,Kick It,0.803,0.653,5,-5.713,1,0.0714,0.105,0,0.115,0.371,93.094,165161,4
BlackBoy,Fire,0.848,0.623,2,-6.869,0,0.308,0.126,0,0.0859,0.698,109.877,190068,4
Machel Montano,Play Harder,0.814,0.956,11,-2.895,1,0.0905,0.0692,5.48e-05,0.0816,0.928,106.014,221160,4
Kes,People,0.703,0.968,10,-3.223,1,0.106,0.0528,3.18e-06,0.078,0.766,128.026,208125,4
Patrice Roberts,Better Days,0.756,0.877,2,-3.352,1,0.104,0.061,0,0.053,0.832,109.93,212318,4
Shenseea,Lighter (with Tarrus Riley & Rvssian),0.521,0.682,1,-5.642,0,0.14,0.162,0,0.1,0.208,177.826,124516,4
Mel Vybz,Application,0.681,0.732,9,-4.1,0,0.346,0.0114,0.000142,0.0599,0.672,203.983,210051,4
Patrice Roberts,Like It Like This,0.656,0.913,2,-2.093,1,0.0566,0.129,0.00608,0.0769,0.6,107.845,195784,4
Travis World,Happy Papi,0.926,0.857,6,-4.999,1,0.0493,0.0722,0,0.216,0.719,125.016,180480,4
Precision Productions,Bacchanalist,0.813,0.594,0,-6.21,1,0.0954,0.131,0,0.0264,0.737,127.91,198110,4
Erphaan Alves,Mash Up,0.819,0.91,1,-4.74,1,0.0544,0.128,2.47e-06,0.0569,0.88,112.975,190353,4
Miguel Maestre,Carnival I Miss You,0.665,0.866,8,-3.511,1,0.131,0.128,0,0.0757,0.769,119.749,226017,4
Marzville,Toc Tic,0.892,0.843,2,-4.691,1,0.158,0.106,0.0217,0.0743,0.787,146.99,122088,4
DJ Flex,Tick Tock Boom,0.793,0.659,6,-9.946,1,0.0574,0.117,0.000355,0.0905,0.848,137.061,133855,4
Hypa 4000,Wineing Freestyle,0.612,0.978,0,-3.677,1,0.068,0.0701,0.000779,0.0883,0.967,160.045,143254,4
Skinny Fabulous,Inches,0.731,0.905,6,-3.85,0,0.0636,0.0478,0,0.22,0.916,158.07,149361,4
Nadia Batson,Catching Feelings,0.632,0.852,6,-3.586,1,0.064,0.298,1.23e-05,0.381,0.605,104.981,187429,4
DJ Spider,Like Dat,0.887,0.787,1,-6.137,1,0.166,0.0764,0.000164,0.821,0.489,122.054,136725,4
DJ Private Ryan,BAM BAM,0.818,0.844,4,-6.757,0,0.272,0.399,0.00372,0.108,0.667,124.009,197559,4
Shurwayne Winchester,Soca,0.808,0.871,2,-5.772,1,0.0444,0.0535,2.16e-05,0.7,0.828,115.032,210744,4
Gbmnutron,Down Dey,0.677,0.87,3,-4.368,0,0.0377,0.36,0,0.0863,0.838,95.989,133142,4
Patrice Roberts,Rock Me,0.727,0.87,2,-3.194,1,0.062,0.209,4.51e-06,0.115,0.775,107.981,164343,4
SKINNYSOUTHBOY,Choker,0.885,0.521,8,-9.706,0,0.347,0.425,0.000109,0.093,0.439,100.149,136800,4
BlackBoy,Touch Pon Di Floor,0.88,0.736,2,-5.816,1,0.0702,0.14,0,0.114,0.596,109.982,125858,4
Laa Lee,Tip Inna It,0.886,0.849,6,-1.669,0,0.0829,0.00191,0.000728,0.0431,0.567,109.984,150545,4
YouknowLando,Party Confessions,0.788,0.871,0,-4.559,1,0.0442,0.202,0.000465,0.0685,0.805,104.012,151234,4
Portah,AS A FRIEND,0.75,0.858,9,-4.623,1,0.0616,0.09,0,0.113,0.59,108.009,228960,4
Kes,Hello,0.757,0.899,6,-4.301,1,0.0442,0.029,1.82e-05,0.303,0.558,105.163,198857,4
YouknowLando,Wishing me the best,0.656,0.551,5,-5.35,1,0.149,0.729,0,0.108,0.715,198.015,165605,4
Skinny Fabulous,Soca Trend,0.702,0.946,9,-2.788,1,0.129,0.291,0,0.395,0.717,147.076,134583,4
Ricky T,Freaky Girls (feat. Emepey Slicker),0.497,0.845,5,-4.661,0,0.177,0.00196,0,0.286,0.565,89.827,223267,3
RDX,Broad Out - Raw,0.856,0.905,2,-0.768,0,0.273,0.0161,0,0.112,0.81,120.111,186760,4
Pumpa,Business,0.856,0.832,7,-7.399,0,0.152,0.0275,0,0.0605,0.685,115.011,192080,4
Mx Prime,Mad City,0.687,0.959,1,-2.786,0,0.249,0.0854,0,0.235,0.587,158.036,209620,4
Marvelus,Girls Wanna Have Fun [Daruma Riddim],0.845,0.906,10,-4.436,1,0.131,0.387,0,0.194,0.563,114.965,205980,4
Machel Montano,Brace,0.782,0.91,0,-3.311,1,0.0398,0.0589,0.000553,0.0592,0.463,152.029,194636,4
Boyzie,Backerz,0.746,0.873,11,-6.44,1,0.166,0.0307,0.000189,0.0988,0.716,160.03,207000,4
Pumpa,Ring-Tinga-Ling,0.8,0.786,1,-4.735,0,0.0639,0.298,1.72e-06,0.097,0.466,124.998,225120,4
Vybz Kartel,Clarks,0.631,0.802,8,-5.316,1,0.373,0.0886,0,0.103,0.772,101.803,183893,4
Toddla T,"Shaker (feat. Jeremiah Asiamah, Stefflon Don & S1mba)",0.806,0.804,11,-5.337,0,0.0687,0.0952,0.00192,0.0859,0.54,126.008,164571,4
Mic Love,Fork,0.853,0.856,1,-3.816,0,0.0616,0.241,0,0.537,0.688,130.007,213912,4
Freezy,Woley PT2,0.607,0.903,1,-2.973,1,0.161,0.0293,0,0.109,0.597,152.087,228113,4
Spice,Go Down Deh (feat. Shaggy and Sean Paul),0.817,0.8,2,-4.475,1,0.108,0.12,3.9e-05,0.187,0.534,90.016,154667,4
Nadia Batson,We Woulda,0.82,0.78,9,-4.63,0,0.301,0.079,0,0.0862,0.913,114.989,221127,4
Avi Da Artiste,Weekend,0.635,0.672,11,-7.557,0,0.11,0.496,0,0.354,0.721,103.14,170680,4
Father Philis,Brawling,0.921,0.497,7,-13.406,1,0.298,0.454,0.00106,0.132,0.559,110.025,142909,4
YouknowLando,Dead to Rights,0.769,0.731,6,-5.108,0,0.178,0.232,0.000332,0.113,0.607,114.919,202408,4
Ruger,Bounce - UK Remix,0.664,0.722,1,-6.669,0,0.155,0.319,0,0.108,0.591,97.957,181523,4
Mr Eazi,Sekkle & Bop (feat. Popcaan),0.817,0.764,3,-5.839,1,0.344,0.0171,0,0.458,0.769,96.11,156328,4
Bunji Garlin,Trini Lingo,0.707,0.76,0,-3.495,1,0.256,0.204,0,0.0966,0.618,103.12,181893,4
Nicki Minaj,Crocodile Teeth (with Skillibeng) - Remix,0.635,0.634,1,-8.91,0,0.356,0.195,0.000107,0.198,0.224,107.008,217883,4
Rummer HD,Dance Like Maggie,0.709,0.862,5,-5.791,1,0.0374,0.299,2.03e-05,0.25,0.562,160.037,145528,4
Delly,Ah Like Dat!,0.775,0.925,6,-8.498,1,0.0362,0.0606,3.05e-05,0.273,0.734,126.07,238571,4
Wetty Beatz,Rum Love,0.627,0.95,9,-4.825,1,0.0549,0.249,2.84e-06,0.101,0.962,159.043,195849,4
Ricky T,Sully,0.655,0.954,1,-4.062,0,0.0788,0.0291,0.0962,0.223,0.797,75.031,233500,4
Machel Montano,Long Time Refix,0.822,0.943,0,-4.02,1,0.05,0.121,0,0.283,0.655,114.961,213119,4
Shurwayne Winchester,Leave Behavior at Home: Super Saiyan Riddim,0.792,0.86,10,-6.106,0,0.162,0.0255,1.86e-06,0.0686,0.725,159.994,171000,4
Bounty Killer,Free Up,0.799,0.874,7,-2.924,1,0.129,0.0893,8.37e-06,0.289,0.866,110.998,209189,4
Skinny Fabulous,BTW (Behaving The Worst),0.736,0.823,9,-7.658,1,0.0935,0.0329,0,0.12,0.665,121.959,197107,4
AkaiiUsweet,Pon Di Tip (Remix),0.825,0.762,6,-9.022,0,0.0399,0.152,0.00945,0.27,0.4,120.064,131143,4
Slida,Back fi Ya Bend,0.814,0.847,5,-6.404,1,0.037,0.127,0,0.114,0.758,128.014,161933,4
Wetty Beatz,Ting Go Nice Again SVG,0.625,0.9,0,-5.881,1,0.0648,0.255,0,0.28,0.968,157.034,177707,4
Demarco,I Love My Life,0.818,0.693,7,-5.631,1,0.133,0.158,0,0.124,0.554,100.011,210413,4
Kes,Love It,0.577,0.857,7,-3.42,1,0.0756,0.2,0,0.0869,0.705,119.589,204500,4
Patrice Roberts,Toxic Love,0.767,0.864,10,-5.299,1,0.0522,0.0289,0,0.164,0.744,110.02,212259,4
Brick & Lace,Love Is Wicked,0.806,0.872,5,-3.427,0,0.0591,0.00802,1.84e-06,0.0911,0.478,100.068,222853,4
Dwayne Bravo,Champion,0.94,0.808,7,-5.817,1,0.257,0.0665,1.07e-05,0.213,0.544,105.029,149002,4
Kerwin Du Bois,Soca Love,0.762,0.722,0,-10.502,1,0.0688,0.0861,0,0.27,0.518,107.96,218547,4
Kes,Close To Me (feat. Shenseea),0.476,0.86,6,-4.495,0,0.161,0.00286,2.32e-05,0.0757,0.664,100.074,198462,4
Blaxx,Leh Go,0.724,0.933,7,-4.084,1,0.0806,0.093,0,0.855,0.827,130.027,203359,4
Patrice Roberts,Camera,0.798,0.848,10,-4.242,0,0.0643,0.0699,0.000423,0.22,0.691,108.041,170000,4
Marzville,Adjust (Tic Tok),0.945,0.522,10,-4.987,0,0.109,0.0049,0,0.0914,0.541,110.026,141818,4
Teejay,Ride,0.81,0.908,7,-5.311,1,0.0563,0.137,4.38e-06,0.141,0.698,115.019,177839,4
Machel Montano,Private Party,0.877,0.919,7,-4.07,1,0.28,0.168,0,0.0973,0.588,120.033,204623,4
Skinny Fabulous,Conch Shell,0.596,0.944,8,-3.583,1,0.047,0.16,0,0.117,0.489,157.054,192199,4
Travis World,Bend,0.859,0.936,1,-3.64,1,0.0898,0.0823,5.73e-05,0.247,0.779,149.891,147200,4
Rupee,Jump,0.678,0.942,7,-2.597,1,0.0546,0.000845,3.43e-06,0.0422,0.726,155.017,214720,4
Motto,Issa Vibe,0.698,0.916,1,-2.876,1,0.0474,0.0702,0,0.199,0.338,150.998,145502,4
Motto,Shots (One for Di Road),0.826,0.886,0,-3.113,1,0.125,0.162,0,0.37,0.659,110.077,137195,4
Nadia Batson,Fattt,0.882,0.887,1,-3.146,1,0.207,0.0561,0,0.286,0.742,133.993,193489,4
Patrice Roberts,Tender,0.862,0.638,10,-4.853,1,0.0562,0.33,1.18e-06,0.0787,0.908,106.021,185660,4
The Fatha,Bounce - Remix,0.882,0.855,6,-7.136,1,0.135,0.144,0,0.146,0.605,115.042,154070,4
Motto,Take Jamm,0.786,0.938,8,-3.412,1,0.313,0.137,0,0.0806,0.681,161.974,144248,4
Machel Montano,Boss Wine,0.918,0.889,0,-3.655,1,0.0557,0.0457,0,0.109,0.338,110.022,174545,4
Nessa Preppy,Issa Snack,0.922,0.512,0,-6.531,1,0.0809,0.0346,2.99e-06,0.178,0.396,110.032,183876,4
Tech Sounds,Round And Round,0.938,0.583,1,-3.789,1,0.0928,0.0764,0.000278,0.086,0.613,110.034,124865,4
Subance,Bad in Bum Bum / Back Bend,0.95,0.87,5,-3.375,1,0.341,0.0494,0,0.282,0.934,129.919,151432,4
Machel Montano,Super Soca,0.843,0.831,7,-5.48,1,0.119,0.114,0,0.149,0.73,104.988,186169,4
Stylo G,Dumpling - Remix,0.706,0.73,7,-5.017,1,0.286,0.391,0.1,0.0871,0.612,63.951,197228,3
Motto,Man with Ride (Big Ride),0.89,0.761,2,-5.124,1,0.066,0.19,0,0.143,0.568,109.933,126459,4
DJ Flex,Put Your Back In It (Afrobeat),0.929,0.889,1,-2.647,1,0.204,0.221,0.281,0.0934,0.868,140.04,84000,4
HoodCelebrityy,Run Di Road,0.801,0.783,11,-4.193,0,0.327,0.244,0,0.0902,0.695,94.648,144000,4
Spice,So Mi Like It,0.812,0.693,0,-3.914,0,0.367,0.0382,0,0.104,0.853,90.12,153213,4
Shurwayne Winchester,Born to Whine,0.859,0.906,0,-2.683,1,0.0892,0.0327,0,0.301,0.618,101.006,258267,4
Linky First,Rock and Come In,0.713,0.829,10,-7.0,0,0.0349,0.062,0,0.0853,0.873,105.025,242235,4
Christo,Soca Feeling (Push Back),0.793,0.934,1,-6.125,1,0.043,0.0982,3.98e-05,0.0564,0.471,110.077,187602,4
Lil Natty,Top Striker (Remix),0.678,0.871,5,-4.968,0,0.254,0.0615,0,0.0936,0.613,155.028,213003,4
Moyann,Fairplay,0.602,0.722,0,-5.624,1,0.0958,0.0426,1.05e-05,0.0882,0.358,120.421,194328,5
Machel Montano,Slow Wine,0.711,0.931,7,-2.38,1,0.375,0.0708,0,0.113,0.728,98.031,210571,4
D Piano Girl Johanna,We'll Go On,0.64,0.534,2,-5.973,1,0.0456,0.86,0,0.115,0.505,75.061,171130,4
Baha Men,Who Let The Dogs Out,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,198400,4
Lyrikal,Criminal Wine,0.793,0.898,9,-4.634,1,0.0598,0.436,0,0.0817,0.83,127.024,226772,4
Stylo G,Oh Lawd,0.849,0.487,2,-5.508,1,0.236,0.327,0,0.0657,0.591,105.114,173714,4
Farmer Nappy,Backyard Jam,0.737,0.95,2,-3.167,1,0.081,0.106,0,0.0814,0.807,109.994,232227,4
Timaya,Bang Bang,0.765,0.826,8,-3.953,1,0.193,0.142,0,0.0382,0.439,100.008,187587,4
Vybz Kartel,Bicycle Ride - Soca Remix,0.897,0.834,1,-3.854,0,0.0549,0.551,0.0401,0.142,0.844,130.066,172755,4
Kes,Stage Gone Bad,0.685,0.99,11,-2.081,0,0.299,0.108,1.18e-06,0.0949,0.613,160.098,193356,4
Motto,Uber Everywhere,0.77,0.776,1,-4.617,1,0.0417,0.0654,0,0.119,0.728,99.991,159948,4
BlackBoy,By Cout Tet,0.841,0.764,1,-6.453,1,0.277,0.00683,5.17e-05,0.157,0.444,86.693,147841,3
Koffee,Lockdown,0.779,0.72,6,-4.702,0,0.2,0.149,0,0.212,0.62,94.021,179737,4
Lyrikal,Magical,0.775,0.863,9,-4.976,1,0.0908,0.192,0,0.155,0.908,105.961,175311,4
Lyrikal,Happy Place,0.72,0.913,2,-4.475,1,0.0614,0.146,2.17e-06,0.0449,0.688,110.016,228818,4
DJ Spider,Bumpa,0.879,0.87,1,-6.33,1,0.0891,0.0757,6.01e-05,0.0856,0.612,121.992,134304,4
Machel Montano,Showtime,0.742,0.907,2,-4.154,1,0.04,0.121,0,0.0865,0.592,147.005,213050,4
Sean Paul,Like Glue,0.757,0.78,1,-5.038,1,0.319,0.0811,0,0.113,0.59,97.917,232507,4
Notch,Nuttin Nuh Go So,0.751,0.837,1,-3.892,1,0.108,0.183,0,0.217,0.752,98.016,242560,4
Skinny Fabulous,Selfish,0.842,0.833,7,-5.521,1,0.0733,0.149,1.68e-06,0.12,0.694,119.953,217250,4
Hypasounds,Bad Gyal,0.907,0.794,5,-4.809,1,0.179,0.285,0.000148,0.0738,0.938,101.981,184853,4
Skorch Bun It,Who Pay!? (Big Bumpa) [feat. Salty & Sekon Sta],0.81,0.815,1,-6.219,1,0.0369,0.0412,1.2e-05,0.0854,0.439,109.972,227356,4
Umpa,Baguy (Dynamite Riddim),0.741,0.731,8,-6.65,1,0.213,0.0527,0.000211,0.107,0.379,219.88,142602,4
System32,We Inside (Psa),0.813,0.783,1,-4.839,1,0.294,0.711,0,0.0799,0.931,104.955,91556,4
Kes,Magic,0.536,0.828,8,-7.742,0,0.21,0.0857,1.36e-06,0.0893,0.848,189.683,250107,4
SUPA NYTRO,Tick Pon Cock,0.973,0.42,7,-12.607,1,0.397,0.00448,1.03e-06,0.269,0.671,120.027,192575,4
Hypasounds,Dip,0.778,0.957,5,-3.721,1,0.0337,0.0567,0.000177,0.0779,0.813,125.043,179160,4
Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0.824,0.854,8,-5.312,1,0.177,0.016,4.95e-05,0.117,0.896,95.114,210329,4
Bobo,Tic It & Tac It,0.959,0.66,6,-7.604,0,0.179,0.0864,2.33e-06,0.251,0.622,112.048,124212,4
Motto,Man with Ride (Big Ride),0.89,0.761,2,-5.124,1,0.0654,0.188,0,0.143,0.547,109.933,126459,4
DJ CHEEM,Ba Ba Ben (Wine & Ben Pt. 2),0.938,0.801,11,-6.618,0,0.114,0.00595,4.83e-06,0.0722,0.44,109.987,151667,4
Melick,Colors,0.852,0.744,8,-7.266,1,0.131,0.109,3.87e-06,0.0555,0.896,105.021,187429,4
Mr. Killa,Run Wid It,0.832,0.93,11,-2.115,0,0.279,0.298,0.000374,0.305,0.541,162.018,191111,4
Nailah Blackman,Iron Love,0.665,0.876,9,-4.715,1,0.0463,0.0131,5.2e-06,0.128,0.737,110.005,202909,4
Bunji Garlin,Big Bad Soca,0.868,0.834,1,-4.965,1,0.0944,0.0447,0,0.0436,0.955,119.973,160965,4
Freezy,Split in De Middle,0.663,0.803,5,-6.445,0,0.332,0.000347,0.00286,0.243,0.688,188.797,139109,3
Farmer Nappy,Day One,0.537,0.888,1,-5.488,1,0.0545,0.0767,0,0.394,0.789,131.141,212596,4
Voice,Dis Is Mas,0.596,0.922,1,-5.546,0,0.17,0.115,0,0.15,0.799,160.101,193875,4
Kes,Workout,0.808,0.848,8,-5.518,1,0.0979,0.0783,0,0.299,0.606,130.021,238154,4
Gbmnutron,Fire,0.838,0.728,0,-6.959,1,0.066,0.213,0.000135,0.0955,0.865,125.972,220947,4
Gbmnutron,Scene,0.786,0.651,11,-7.649,1,0.0812,0.033,0,0.0667,0.906,126.914,190853,4
Konshens,Turn Me On,0.804,0.76,7,-6.409,0,0.127,0.396,0,0.176,0.763,104.969,199213,4
HoodCelebrityy,Walking Trophy,0.691,0.604,0,-6.358,1,0.341,0.129,0.00494,0.108,0.44,125.55,215112,5
Byron Lee,Tiny Winey,0.876,0.872,1,-7.326,1,0.0595,0.036,0.0143,0.273,0.974,122.504,95671,4
Olatunji,Thank Mama,0.809,0.885,7,-2.272,1,0.0818,0.305,0,0.116,0.498,120.044,204000,4
Klassik Frescobar,Elevator,0.607,0.743,8,-5.674,1,0.0398,0.00377,0,0.312,0.436,155.029,139990,4
Kes,Pepper,0.786,0.934,2,-4.202,1,0.192,0.103,0,0.324,0.725,149.965,174400,4
Orlando Octave,Single,0.866,0.701,0,-4.906,1,0.0993,0.174,0,0.0886,0.797,129.982,180923,4
Alison Hinds,Single (Answer Back),0.828,0.846,0,-4.052,1,0.0498,0.0107,0,0.0821,0.859,130.11,180000,4
King Bubba,Calling in Sick,0.769,0.92,9,-6.017,0,0.0952,0.0213,6.87e-06,0.317,0.796,127.95,215798,4
Ma R Va Y,Know the Face,0.756,0.867,11,-5.123,1,0.0458,0.574,1.45e-05,0.126,0.808,125.072,213387,4
Ultimate Rejects,Full Extreme,0.781,0.899,11,-4.363,0,0.052,0.0657,0,0.0575,0.476,127.787,232500,4
King Bubba,Calling in Sick,0.76,0.954,9,-4.262,0,0.0919,0.0147,5.23e-06,0.275,0.684,128.002,215486,4
Machel Montano,Like Ah Boss,0.802,0.944,10,-1.139,0,0.175,0.105,0,0.329,0.746,133.968,189657,4
Destra,Lucy,0.77,0.94,6,-3.153,0,0.0496,0.0147,0,0.108,0.857,123.002,210756,4
KES the Band,Fallin',0.381,0.975,7,-4.114,0,0.202,0.0392,7.39e-05,0.158,0.671,178.933,215625,3
Kes,Wine Up,0.706,0.846,0,-4.84,1,0.0451,0.338,0,0.122,0.552,93.965,197872,4
Skinny Fabulous,Watch Thing,0.445,0.891,0,-4.312,0,0.236,0.218,0,0.0857,0.89,192.006,212875,3
Benjai,Phenomenal,0.949,0.473,0,-6.618,1,0.203,0.289,0,0.0617,0.808,126.017,185918,4
Charly Black,Gyal You A Party Animal,0.599,0.838,0,-5.16,1,0.0996,0.0272,0,0.33,0.847,128.854,214867,4
Destra,Technically,0.808,0.787,2,-3.979,1,0.0403,0.103,0,0.118,0.708,124.966,194606,4
KES the Band,Wotless,0.843,0.792,9,-3.672,1,0.0542,0.0671,5.02e-05,0.0694,0.9,119.992,218228,4
Patrice Roberts,Big Girl Now,0.705,0.934,9,-3.584,1,0.0383,0.0391,0,0.154,0.819,125.0,183010,4
Ramz,Barking,0.527,0.465,7,-8.055,0,0.227,0.175,0,0.0661,0.765,137.033,202827,5
Rupee,Tempted To Touch,0.82,0.826,2,-7.012,0,0.0546,0.061,0,0.0904,0.939,105.988,207547,4
Olatunji,Oh Yay,0.789,0.823,6,-3.96,1,0.189,0.129,0.000107,0.231,0.952,127.964,211875,4
Rupee,What Happens in De Party,0.534,0.925,11,-2.97,1,0.251,0.0753,0,0.198,0.853,109.999,258013,4
Hypasounds,Get Up and Move (Bubble),0.835,0.914,0,-3.572,1,0.0408,0.141,1.1e-05,0.0815,0.74,112.061,211071,4
Farmer Nappy,X Man,0.672,0.962,9,-4.593,1,0.0467,0.0428,0,0.571,0.857,118.008,221776,4
Shayne Bailey,LEGGO MEH MAN,0.828,0.925,0,-6.213,1,0.0411,0.0633,8.14e-05,0.237,0.883,110.011,241493,4
Alison Hinds,Born Wit It (Bumpa Riddim),0.94,0.902,4,-3.135,1,0.0717,0.123,0,0.367,0.938,116.066,202449,4
Hypasounds,Sugar Rush,0.764,0.888,0,-3.774,1,0.0406,0.0312,0,0.0867,0.967,127.933,185960,4
Angela Hunte,Party Done,0.61,0.922,2,-5.483,1,0.311,0.00564,0,0.0438,0.831,127.752,198372,4
Patrice Roberts,Sweet Fuh Days,0.75,0.929,7,-4.543,0,0.0864,0.00868,0,0.0688,0.773,139.971,217286,4
Nadia Batson,Catching Feelings (Folklore Riddim),0.631,0.851,6,-3.588,1,0.0644,0.298,1.3e-05,0.381,0.6,104.98,187429,4
Ricky T,Freaky Girls,0.539,0.705,5,-9.501,0,0.146,0.07,0,0.165,0.64,87.253,222563,3
Kerwin Du Bois,Too Real,0.882,0.827,0,-4.13,1,0.0574,0.214,0,0.0619,0.418,125.021,186000,4
Machel Montano,Lip Service,0.56,0.852,1,-4.605,1,0.125,0.201,0,0.0699,0.868,146.682,216679,3
Peter Ram,Good Morning,0.792,0.83,5,-5.351,0,0.0828,0.157,0,0.0817,0.961,130.028,215883,4
